1564931	许志安
2527935	郑秀文
1243573	刘德华
1294857	谢霆锋
668982	古天乐
293192	韩红
3243350	管彤
2300841	林志炫
2334484	李宇春
280698	余德琳
2579878	潘恒章
6750667	黄贯中
3598065	朱茵
784413	李克勤
24843	梅艳芳
1153214	近藤真彦
2536746	苗侨伟
3208063	赵文卓
648074	苏永康
2376108	吴国敬
2045213	陈雅伦
2904991	查小欣
1876398	梁汉文
1317017	林文慧
2073682	尹志强
2335246	杨千嬅
2847787	张卫健
1472438	张茜
2700386	黎姿
2440707	宣萱
1258175	黄柏高
452314	郭富城
2160936	王杰
76230	郭启华
42189010	梅艳芳
1424428	张国荣
72865	成龙
2274786	周星驰
3065107	江欣燕
449115	林文龙
990247	郭可盈
3955189	林天若
2050627	杨恭如
2863420	黄玉郎
2196426	倪诗蓓
1090087	蔡慧敏
1430965	邱福龙
2148257	许晋亨
692927	刘嘉玲
289660	陈法蓉
3921863	李嘉欣
573068	马廷强
759490	黎灼灼
2696314	黎北海
3545944	林楚楚
72379	黎婴
1821804	黎民伟
2814153	严珊珊
687800	黎铿
115312	黎宣
40063985	黎婴
41114573	黎萱
2849502	马家蔚
1335710	马惜如
999325	罗文
3739999	张学友
3771726	甄妮
3059381	容祖儿
2597965	卢淑仪
53221130	郭可颂
2030233	熊黛林
34942109	郭达昌
3573786	伍咏薇
2208322	练海棠
1637711	张慕童
2126980	张智霖
2537577	蔡少芬
903923	吴奇隆
414836	张晋
1715383	刘銮雄
487749	陈慧珊
3718005	陈豪
2570400	钟家鸿
3822255	海俊杰
1047366	张可颐
1586078	胡歌
145745	梅小青
282627	彭于晏
1564931	许志安
2527935	郑秀文
1243573	刘德华
1294857	谢霆锋
668982	古天乐
293192	韩红
3243350	管彤
2300841	林志炫
2334484	李宇春
280698	余德琳
2579878	潘恒章
6750667	黄贯中
3598065	朱茵
784413	李克勤
24843	梅艳芳
1153214	近藤真彦
2536746	苗侨伟
3208063	赵文卓
648074	苏永康
2376108	吴国敬
2045213	陈雅伦
2904991	查小欣
1876398	梁汉文
1317017	林文慧
2073682	尹志强
2335246	杨千嬅
2847787	张卫健
1472438	张茜
2700386	黎姿
2440707	宣萱
1258175	黄柏高
452314	郭富城
2160936	王杰
76230	郭启华
42189010	梅艳芳
1424428	张国荣
72865	成龙
2274786	周星驰
39923643	黄莺
2637598	朱丽倩
543456	关之琳
591624	喻可欣
2597965	卢淑仪
990247	郭可盈
3119813	谭咏麟
2442524	梁咏琪
2442208	郑伊健
8456212	朱永恒
1120152	窦尔博
203000	莫文蔚
2538356	冯德伦
689443	张亚东
2687987	陈小春
951754	应采儿
3027140	黎芷珊
1913756	叶世荣
3046191	张伟铃
8583997	许韵珊
41170953	beyond
318513	黄家强
40113853	Makiko
202787	何洁
1658549	苟伟
2298256	林楚麒
700564	黄浩义
951282	周采茨
8151900	裘丽琳
667967	何超
2626102	何冲
1495404	黄家驹
1120653	黄耀明
1505831	崔健
1111298	梁翘柏
1062504	林海峰
2350004	彭羚
3618456	狄龙
2617583	林晓峰
1189507	方文琳
40679309	于冠华
3474549	刘文正
7705842	莫绮雯
3188727	莫家尧
528716	王宗尧
2051650	张建声
4026800	王侠
2303059	岳华
3328268	陈萍
4019905	宗华
418335	王筱翠
1018073	王侠
2017448	毛舜筠
3493345	吴婉芳
1017120	雪梨
2715444	姜育恒
142400	林慧萍
903923	吴奇隆
3332828	谭雪
1023343	陈百强
3184073	林忆莲
838571	林子祥
3179609	张雨生
259156	张惠妹
836699	邰正宵
1526840	杨培安
3964716	杨钰莹
125879	谢东
111933	赖文峰
2656433	毛宁
8430636	方媛
1306067	藤原纪香
972938	阵内智则
3778031	苟芸慧
845303	方中信
3107283	邓萃雯
918635	岑丽香
2030233	熊黛林
56464578	郭可颂
3056320	金钟国
3480806	吴君如
3040469	钟丽缇
1210193	张伦硕
1647272	李治廷
2405540	申贤俊
2126980	张智霖
871336	袁咏仪
2954312	许秋怡
1783003	曹查理
1729139	余文乐
200311391	王棠云
81844	卢巧音
1645897	杨采妮
453684	邱韶智
1718330	谢天华
3117294	杨天恩
191881	林峰
1594769	欧阳靖
112886	章子怡
696703	汪峰
3085336	艾维·尼沃
200680922	醒醒
3823018	徐静蕾
3106386	黄立行
2798159	王朔
2136605	黄觉
1904216	袁洁莹
1715383	刘銮雄
3552172	黎耀祥
1823247	李丽珍
3783488	陈慧琳
709742	曾志伟
1089436	蔡依林
6795882	周杰伦
3270459	Vivian Dawson
24458	罗志祥
1372863	蔡诗芸
588058	王阳明
2546529	高以翔
1101131	萧敬腾
2656591	林辰唏
3270574	李玟
9667728	林俊杰
2757557	热依扎
1586078	胡歌
3432882	肖雨雨
1641544	陈奂仁
35605120	唐嘉麟
2074087	金莎
3845731	胡灵
2431151	林宇中
3616393	李智楠
756016	Hebe
2079866	Ella
136818	Selina
1802546	贺军翔
599447	高宇蓁
3129562	lillian
39920129	林俊峰
1617818	张杰
2772548	谢娜
1518749	段曦
1478038	张靓颖
2047446	林志颖
2061203	陈若仪
123724	林心如
2925991	柯佳青
2475828	蔡健雅
3003498	梁静茹
1245615	孙燕姿
